,Epithelial,Mesenchymal,EMT,Luminal,Basal,Glycolysis,OXPHOS,Hypoxia,Ferroptosis
Epithelial,1.0,-0.7690140845070422,-0.5789694689878401,0.742874639139183,-0.5405476336278541,-0.08130522264018895,0.16136820925553316,-0.36450004374070505,-0.1870527512903508
Mesenchymal,-0.7690140845070422,1.0,0.8737468287988801,-0.7853206193683843,0.6644213104715249,0.39518852243898167,-0.2715248009797918,0.7247484909456741,0.4046365147406176
EMT,-0.5789694689878401,0.8737468287988801,1.0,-0.7213542122299011,0.5212317382556207,0.6052138920479397,-0.34931327092992737,0.8675881375207769,0.5564342577202345
Luminal,0.742874639139183,-0.7853206193683843,-0.7213542122299011,1.0,-0.5201819613332166,-0.42066310908931853,0.0899483859679818,-0.6234800104977692,-0.5378532061936838
Basal,-0.5405476336278541,0.6644213104715249,0.5212317382556207,-0.5201819613332166,1.0,0.2487446417636252,-0.21781121511678767,0.39403376782433724,0.3114163240311434
Glycolysis,-0.08130522264018895,0.39518852243898167,0.6052138920479397,-0.42066310908931853,0.2487446417636252,1.0,-0.15531449566967018,0.8010322806403639,0.6436357274079257
OXPHOS,0.16136820925553316,-0.2715248009797918,-0.34931327092992737,0.0899483859679818,-0.21781121511678767,-0.15531449566967018,1.0,-0.3291225614556907,-0.05453591111888723
Hypoxia,-0.36450004374070505,0.7247484909456741,0.8675881375207769,-0.6234800104977692,0.39403376782433724,0.8010322806403639,-0.3291225614556907,1.0,0.6489196045840259
Ferroptosis,-0.1870527512903508,0.4046365147406176,0.5564342577202345,-0.5378532061936838,0.3114163240311434,0.6436357274079257,-0.05453591111888723,0.6489196045840259,1.0
